Agency,nfi_plot,Long,Lat,slope,aspect,elevation,province,ecozone,land_base,land_cover,land_pos,density_cl,stand_stru,succ_stage,wetland_class,veg_type,site_age,site_height,lorey_height,Pct_ABIE,Pct_PICE,Pct_PINU,Pct_PSEU,Pct_THUJCHAM,Pct_TSUG,LoCBH_ABIE,LoCBH_PICE,LoCBH_PINU,LoCBH_PSEU,LoCBH_THUJCHAM,LoCBH_TSUG,Dom_ltp_gen,Dom_ltp_pct,Dom_decid_con,Sec_ltp_gen,Sec_ltp_pct,Sec_decid_con,ltp_con_pct,stree_mean_H,Dom_stp_gen,Dom_stp_pct,LoreyCBH,num_CBH_obs,SFL,CFL,TFL,CBD,stp_CBD,basal_area_standlive,basal_area_standlive_small,basal_area_standlive_total,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead,picemar_pct,Larilar_pct,all_stp_fuels_kg_m2,saplings_kg_m2,herbs_kg_m2,mosslichen_kg_m2,size1_2_kg_m2,SPHA,CLAD,FM,Dom_surf,avg_org_thick,TreedPeatland,avg_org_carb,avg_bulk_density_org,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NFI,1143166,-75.79,47.22,14,320,332,QC,Boreal Shield East,V,T,U,DE,COMP,LS,U,TB,111,17.7,17.6,1.11561882119791,0,0,0,0,0,0,1.5,0,0,0,0,BETU,0.933,DEC,ABIE,0.067,CON,0.07,2.93,ABIE,0.846,,0,,2.066285,2.289135,,0.2418,16.54,4.9872783376,21.5272783376,0,0,350,0,0,62.86,9.35,24.77,3.38,0,0,0,0,0,0.708,0.05985,0.027625,0.035375,0.1,0,0,0.008,other,6.9,0,338.95,0.12,2,11.3,0.25,112.89,23.1,-21.5,44.6,14.4,-6.3,15.7,-13.5,1016,113,60,23,338,182,324,217
NFI,1143216,-73.84,45.96,8,56,265,QC,Boreal Shield East,V,T,U,DE,COMP,MS,U,TB,64,17.6,17.4,18.4430534671183,0,0,0,0.273397100678652,0,0,0,0,0,0,0,ABIE,0.68,CON,ACER,0.297,DEC,0.68,,,0,,0,,2.661,2.661,,,27.12,0,27.12,1.75,0,875,75,0,81.4,13.94,16.26,8.21,7.25,1.06,2.24,0,0,0,0,0,0,0,0,0,0,other,,,,,4.6,10.9,0.25,107.66,25.2,-17.1,42.3,17.7,-3.4,17.7,-10.1,1018,99,67,12,283,214,283,238
NFI,1149076,-132.42,58.52,20,114,1180,BC,Boreal Cordillera,V,T,U,SP,SNGL,MS,U,TC,35,7.4,7.6,1.09215505106641,0,0,0,0,0,0.337432357118458,0,0,0,0,0,ABIE,1,CON,,0,,1,1.83,ABIE,1,0.337,1,,0.13916,0.20576,,0.0742,1.09,2.4207542192,3.5107542192,0.73,0,100,50,0,1.36,0.28,0.97,0.7,1.09,0,0,0,0,0.136,0,0.0666,0,0,0,0,0,other,,,,,0.1,9.8,0.28,85.43,18,-16.7,34.7,0.6,0,10.8,-11.1,718,93,29,31,243,111,174,190
NFI,1149111,-130.03,58.64,14,336,975,BC,Boreal Cordillera,V,T,U,OP,SNGL,MS,U,TC,267,11.8,11.6,1.17204967923801,13.3851089297928,0,0,0,0,2.26857870401394,6.16628686601309,0,0,0,0,PICE,0.904,CON,ABIE,0.096,CON,1,2.63,PICE,0.528,5.792,22,,1.48129,1.64419,0.255,0.1324,12.21,5.2387628295,17.4487628295,2.35,0,550,175,0,23.74,3.64,7.94,6.72,3.39,0.57,1.57,0,0,0.348,0,0.0921,0,0.0708,0.013,0.027,0.237,other,30.7,0,519.93,0.07,-1.1,12,0.27,106.52,20,-22.9,42.9,10.5,-0.4,11.7,-15.5,459,56,15,29,158,69,148,107
NFI,1149116,-129.69,58.64,10,274,1290,BC,Boreal Cordillera,V,T,U,OP,SNGL,MS,U,TC,218,15.7,14.6,41.2877334963191,2.73440297577639,0,0,0,0,8.96524195090919,7.39313466799003,0,0,0,0,ABIE,0.958,CON,PICE,0.042,CON,1,5.21,ABIE,1,8.899,74,,4.41036,4.47396,0.7736,0.1272,38.47,15.9179787368,54.3879787368,5.55,0,1850,200,0,88.24,15.45,27.05,17.76,6.9,1.25,3.78,0,0,0.6625,0,0.0452,0,0.0184,0,0.001,0.3,other,9.3,0,510.95,0.03,-2.4,11.6,0.28,101.86,18.2,-22.8,41,9,-2.2,10.1,-15.9,502,61,17,28,169,77,160,121
NFI,1149331,-114.95,58.26,0,999,271,AB,Boreal Plains,V,T,U,DE,MULT,MS,U,TB,61,20.7,18.2,0,5.15963396453137,0,0,0,0,0,14.0393427151436,0,0,0,0,POPU,0.69,DEC,PICE,0.222,CON,0.22,4.53,SALI,0.692,17.798,52,,1.512025,1.762275,3.7588,0.2236,23.19,16.2341800374,39.4241800374,0.96,0,1325,100,0,70.43,16.21,6.39,2.74,2.47,0.68,0.15,0,0,1.013,0.09575,0.0072,0.011375,0.135925,0,0,0.005,other,9,0,404.18,0.1,-0.6,11.6,0.22,137.51,23.4,-27.9,51.3,15.6,-8.6,15.6,-19.5,388,65,17,48,172,52,172,61
NFI,1149556,-100.45,56.12,0,999,292,MB,Boreal Shield West,V,T,W,OP,SNGL,MS,U,TC,65,6.7,7.9,0,0.781353362855951,1.0976332032561,0,0,0,0,3.26436107854631,2.72526310730934,0,0,0,PINU,0.604,CON,PICE,0.396,CON,1,2.31,PICE,0.948,2.939,4,,0.337,3.087,,0.8186,0.38,13.3695187762,13.7495187762,0.55,0,40,60,0,0.66,0.09,0.17,0.14,0.84,0.1,0.25,0.936,0,1.888,1.1,0.04,1.39,0.22,0.117,0.01,0.35,3,18.575,0,452.65,0.05,-2.9,11.4,0.21,142.36,22.3,-30.4,52.7,14.5,-12.3,14.5,-22.1,487,75,16,53,215,54,215,65
NFI,1149636,-95.82,55.01,0,999,211,MB,Boreal Shield West,V,T,U,SP,SNGL,MS,U,TC,69,7.8,8.8,0,1.03513514440375,2.1245020319901,0,0,0,0,1.05078814089797,2.87277634011091,0,0,0,PINU,0.672,CON,PICE,0.328,CON,1,2.74,PICE,1,2.276,9,,0.578,4.528,,0.0952,2.33,1.6589180007,3.9889180007,0,0,140,0,0,4.15,0.49,1.45,0.86,0,0,0,0.623,0,0.2605,0.88,0.02,2.9,0.15,0.005,0.122,0.1,other,7.225,0,408.92,0.11,-2.7,10.7,0.2,141.33,22.2,-29.4,51.6,14.5,-19.3,14.5,-22,501,78,17,48,213,59,213,64
NFI,1149661,-94.4,54.68,0,999,145,MB,Boreal Shield West,V,T,W,SP,SNGL,LS,U,TC,121,8.2,8.3,0,10.7732869723687,0,0,0,0,0,3.27143642850857,0,0,0,0,PICE,1,CON,,0,,1,3.81,PICE,1,3.271,36,,1.2635,4.3335,0.2513,0.1817,7.85,6.4269131711,14.2769131711,0.76,0,720,80,0,14.42,2.31,4.5,5.48,1.27,0.21,0.47,0.899,0,0.6925,1.88,0.02,0.95,0.22,0.11,0.031,0.6,3,57.4,1,,,-2.3,10.5,0.2,141.3,22.2,-29.1,51.3,14.9,-19,14.9,-21.7,521,81,16,49,220,59,220,63
NFI,1149681,-93.31,54.33,0,999,234,MB,Boreal Shield West,V,T,W,SP,SNGL,LS,U,TC,69,7.8,7.9,0,2.39489498469375,0,0,0,0,0,2.17246968541703,0,0,0,0,PICE,0.726,CON,LARI,0.274,DEC,0.73,2.7,PICE,1,2.509,15,,0.595,3.775,0.1104,0.2797,2.64,5.3806057378,8.0206057378,0,0,300,0,0,4.74,0.75,1.47,1.66,0,0,0,0.775,0.09,0.754,0.83,0.06,2.05,0.24,0.153,0.043,0.21,other,38.775,1,522.25,0.06,-2.5,10.3,0.2,139.36,21.8,-29,50.8,14.5,-19,14.5,-21.5,554,84,17,48,232,64,232,67
